id,songs
1,Levitating Dua Lipa
2,Save Your Tears The Weeknd and Ariana Grande
3,Blinding Lights The Weeknd
4,Mood 24kGoldn Iann Dior
5,Good 4 U Olivia Rodrigo
6,Kiss Me More Doja Cat SZA
7,Leave the Door Open Silk Sonic (Bruno Mars and Anderson .Paak)
8,Drivers License Olivia Rodrigo
9,Montero (Call Me by Your Name) Lil Nas X
10,Peaches Justin Bieber Daniel Caesar and Giveon
