id,songs
1,Blinding Lights The Weeknd
2,Circles Post Malone
3,The Box Roddy Ricch
4,Don't Start Now Dua Lipa
5,Rockstar DaBaby featuring Roddy Ricch
6,Adore You Harry Styles
7,Life Is Good Future featuring Drake
8,Memories Maroon 5
9,The Bones Maren Morris
10,Someone You Loved Lewis Capaldi
